标题	小区	年限	户型	面积	楼层	单价	装修	总价	地址1	地址2	地址3	发布日期	url
锦旺巷2室1厅1卫精装修70.26平 装修齐全	锦旺苑小区	1999	2室1厅1卫	70.3	共4层	22487	精装修	158	维扬	五台山大桥	友谊路37号	2018年9月16日	https://yangzhou.anjuke.com/prop/view/A1415641292?from=filter&spread=commsearch_p&position=453&kwtype=filter&now_time=1538808623
锦旺巷2室1厅1卫精装修70.26平 装修齐全	锦旺苑小区	1999	2室1厅1卫	70.3	共4层	22487	精装修	158	维扬	五台山大桥	友谊路37号	2018年7月25日	https://yangzhou.anjuke.com/prop/view/A1338717602?from=filter&spread=commsearch_p&position=1814&kwtype=filter&now_time=1538808908
锦旺巷2室1厅1卫精装修70.26平 装修齐全	锦旺苑小区	1999	2室1厅1卫	70.3	共4层	22487	精装修	158	维扬	五台山大桥	友谊路37号	2018年9月16日	https://yangzhou.anjuke.com/prop/view/A1415641292?from=filter&spread=commsearch_p&position=500&kwtype=filter&now_time=1538808636
通泗街二楼，精装修3室1厅1卫，67平152万有公用车库	通泗街小区	1999	3室1厅1卫	68	低层(共6层)	22352	精装修	152	广陵	文昌阁	汶河南路	2018年9月9日	https://yangzhou.anjuke.com/prop/view/A1406525231?from=filter&spread=commsearch_p&position=325&kwtype=filter&now_time=1538808598
玉器街三室精装修一楼带25平方院子出售	玉器街84号小区	1997	3室2厅1卫	83	共5层	22289	精装修	185	邗江	汽车西站	玉器街84号	2018年7月20日	https://yangzhou.anjuke.com/prop/view/A1332051884?from=filter&spread=commsearch_p&position=264&kwtype=filter&now_time=1538808586
锦旺巷梅岭70平2/1/1/156万	锦旺南苑	1990	2室1厅1卫	70	低层(共6层)	22285	精装修	156	邗江	汽车西站	瘦西湖路31号	2018年8月16日	https://yangzhou.anjuke.com/prop/view/A1369690090?from=filter&spread=commsearch_p&position=1807&kwtype=filter&now_time=1538808908
锦旺巷2室2厅精装修，中间楼层，有自行车库梅岭校区双教育房，	锦旺苑小区	1995	2室2厅1卫	71	共4层	22253	精装修	158	维扬	五台山大桥	友谊路37号	2018年7月25日	https://yangzhou.anjuke.com/prop/view/A1338737514?from=filter&spread=commsearch_p&position=1995&kwtype=filter&now_time=1538808946
梅岭吉祥苑 90平200万可谈 梅岭本部双校区 配套齐全..	吉祥苑	2010	3室2厅1卫	90	共5层	22222	精装修	200	邗江	邗江工业园	梅岭东路58号	2018年9月16日	https://yangzhou.anjuke.com/prop/view/A1416032290?from=filter&spread=commsearch_p&position=1958&kwtype=filter&now_time=1538808934
梅岭吉祥苑 90平200万可谈 梅岭本部双校区 配套齐全..	吉祥苑	2010	3室2厅1卫	90	共5层	22222	精装修	200	邗江	邗江工业园	梅岭东路58号	2018年9月16日	https://yangzhou.anjuke.com/prop/view/A1416032290?from=filter&spread=commsearch_p&position=670&kwtype=filter&now_time=1538808674
梅岭吉祥苑 90平200万可谈 梅岭本部双校区 配套齐全..	吉祥苑	2010	3室2厅1卫	90	共5层	22222	精装修	200	邗江	邗江工业园	梅岭东路58号	2018年9月16日	https://yangzhou.anjuke.com/prop/view/A1416032290?from=filter&spread=commsearch_p&position=605&kwtype=filter&now_time=1538808661
梅岭吉祥苑 90平200万可谈 梅岭本部双校区 配套齐全..	吉祥苑	2010	3室2厅1卫	90	共5层	22222	精装修	200	邗江	邗江工业园	梅岭东路58号	2018年9月16日	https://yangzhou.anjuke.com/prop/view/A1416032290?from=filter&spread=commsearch_p&position=567&kwtype=filter&now_time=1538808648
锦旺巷小区，好楼层，好地势	锦旺苑小区	2011	2室2厅1卫	70.3	共5层	22203	精装修	156	维扬	五台山大桥	友谊路37号	2018年8月17日	https://yangzhou.anjuke.com/prop/view/A1371520996?from=filter&spread=commsearch_p&position=1985&kwtype=filter&now_time=1538808946
荟景苑京华城三期 带200平大院子带地暖 南北通透动静分离	京华荟景苑	2012	3室2厅2卫	138	低层(共12层)	22173	精装修	306	邗江	京华城	文汇西路	2018年9月3日	https://yangzhou.anjuke.com/prop/view/A1396818056?from=filter&spread=commsearch_p&position=4&kwtype=filter&now_time=1538808537
玉器街，四楼，三室，两室朝南，一室朝北，新精装修，有车库	玉器街84号小区	1998	3室1厅1卫	70	共5层	22142	精装修	155	邗江	汽车西站	玉器街84号	2018年9月7日	https://yangzhou.anjuke.com/prop/view/A1402703362?from=filter&spread=commsearch_p&position=2538&kwtype=filter&now_time=1538809059
育才本部 南门街 精装修1楼 邻南门新村 毛牌楼 荷花池	南小街小区	2000	3室1厅1卫	87	共5层	22126	精装修	192.5	广陵	文昌阁	汶河南路	2018年9月28日	https://yangzhou.anjuke.com/prop/view/A1433659890?from=filter&spread=commsearch_p&position=2720&kwtype=filter&now_time=1538809098
JWL售门面梅岭本部双学玉器街101号 中装3房带25平院子	粮食局宿舍	1998	3室1厅1卫	76	共3层	22105	简单装修	168	邗江	汽车西站	玉器街101号	2018年9月29日	https://yangzhou.anjuke.com/prop/view/A1435868782?from=filter&spread=commsearch_p&position=813&kwtype=filter&now_time=1538808697
玉器街 梅小梅中本部 邻窦庄新村 高桥二村 马太巷 梅岭东苑	玉器街28号小区	1995	3室1厅1卫	76	共4层	22105	简单装修	168	邗江	汽车西站	玉器街28号	2018年9月7日	https://yangzhou.anjuke.com/prop/view/A1402820552?from=filter&spread=commsearch_p&position=872&kwtype=filter&now_time=1538808710
